run_date,data_latest_completed_day,symbol,name,custom_watchlist,decision,score,tier,market_state,pattern_type,close,change_pct,volume,volume_ratio,ma3,ma8,ma21,key_level,tracking_action
2026-05-05,2026-05-04,3037,欣興,,hold,85.0,secondary_watchlist,strong_uptrend,w_pattern,911.0,3.17,43631191,1.84,865.67,811.88,688.88,538.0,優先追蹤，等待突破後不跌破 3MA/8MA
2026-05-05,2026-05-04,4958,臻鼎-KY,,hold,85.0,secondary_watchlist,strong_uptrend,w_pattern,432.5,2.73,80952818,1.51,412.17,372.06,301.64,188.5,優先追蹤，等待突破後不跌破 3MA/8MA
2026-05-05,2026-05-04,6205,詮欣,6205 詮欣,hold,85.0,secondary_watchlist,strong_uptrend,w_pattern,94.5,9.25,11365796,1.56,90.9,84.85,72.26,66.0,優先追蹤，等待突破後不跌破 3MA/8MA
2026-05-05,2026-05-04,8046,南電,,reject,74.76,secondary_watchlist,strong_uptrend,,986.0,-1.89,22470773,0.98,969.0,903.0,759.52,515.0,暫不納入進場候選
2026-05-05,2026-05-04,2313,華通,,reject,54.38,lower_priority,strong_uptrend,,268.5,9.82,83875146,1.03,247.67,237.75,255.74,215.0,暫不納入進場候選
2026-05-04,2026-05-04,3037,欣興,,hold,85.0,secondary_watchlist,strong_uptrend,w_pattern,911.0,3.17,43631191,1.84,865.67,811.88,688.88,538.0,優先追蹤，等待突破後不跌破 3MA/8MA
2026-05-04,2026-05-04,6205,詮欣,6205 詮欣,hold,85.0,secondary_watchlist,strong_uptrend,w_pattern,94.5,9.25,11365796,1.56,90.9,84.85,72.26,66.0,優先追蹤，等待突破後不跌破 3MA/8MA
2026-05-04,2026-05-04,4958,臻鼎-KY,,hold,84.92,secondary_watchlist,strong_uptrend,w_pattern,432.5,2.73,81110860,1.49,412.17,372.06,301.64,188.5,觀察，不追高
2026-05-04,2026-05-04,8046,南電,,reject,74.58,secondary_watchlist,strong_uptrend,,986.0,-1.89,22522372,0.96,969.0,903.0,759.52,515.0,暫不納入進場候選
2026-05-04,2026-05-04,2313,華通,,reject,54.38,lower_priority,strong_uptrend,,268.5,9.82,83875146,1.03,247.67,237.75,255.74,215.0,暫不納入進場候選
2026-05-05,2026-05-05,6205,詮欣,6205 詮欣,hold,85.0,secondary_watchlist,strong_uptrend,w_pattern,98.2,3.92,17667577,2.17,93.07,86.22,74.39,66.0,優先追蹤，等待突破後不跌破 3MA/8MA
2026-05-05,2026-05-05,3037,欣興,,reject,76.89,secondary_watchlist,strong_uptrend,,903.0,-0.88,26817692,1.19,899.0,835.25,708.62,538.0,暫不納入進場候選
2026-05-05,2026-05-05,4958,臻鼎-KY,,reject,72.41,secondary_watchlist,strong_uptrend,,426.5,-1.39,40318253,0.74,426.67,386.0,311.5,202.0,暫不納入進場候選
2026-05-05,2026-05-05,8046,南電,,reject,70.49,secondary_watchlist,strong_uptrend,,997.0,1.12,11932373,0.55,996.0,927.25,779.67,603.0,暫不納入進場候選
2026-05-05,2026-05-05,2313,華通,,hold,70.12,secondary_watchlist,strong_uptrend,w_pattern,274.5,2.23,126129260,1.54,262.5,241.19,256.14,249.0,觀察，不追高
